model_id,item_id,label
model_001,item_0001,1
model_001,item_0002,0
model_001,item_0003,1
model_001,item_0004,1
model_001,item_0005,0
model_002,item_0001,0
model_002,item_0002,1
model_002,item_0003,0
model_002,item_0004,1
model_002,item_0005,1
model_003,item_0001,1
model_003,item_0002,1
model_003,item_0003,1
model_003,item_0004,0
model_003,item_0005,0
model_004,item_0001,0
model_004,item_0002,0
model_004,item_0003,1
model_004,item_0004,0
model_004,item_0005,1
model_005,item_0001,1
model_005,item_0002,1
model_005,item_0003,0
model_005,item_0004,1
model_005,item_0005,1
